197,433
232,510
291,631
418,645
530,642
643,497
627,418
203,390
221,333
236,292
256,259
274,236
561,239
576,268
590,307
600,337
615,374
285,296
321,289
353,285
372,306
355,328
320,333
287,320
320,236
373,238
416,238
461,236
508,241
430,281
476,285
511,288
540,295
547,317
508,327
480,333
438,312
416,337
418,395
418,433
413,469
356,491
394,498
437,501
472,490
327,533
372,535
406,540
451,539
491,537
319,558
352,582
388,589
429,590
468,592
498,586
515,557
349,560
406,565
464,564
583,529
253,569
273,600
546,615
567,583
576,560
243,537
345,640
